Place ID,Name,Latitude,Longitude,Category,Rating,Number of Reviews,Business Status,Google Maps URL
N/A,شواية اجيال,26.2659904,50.072078,restaurant,4.1,198,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Ovlo,26.2658845,50.0705512,restaurant,4.5,110,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Subway,26.2655225,50.0712506,restaurant,4.8,146,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مطعم زنبق الشام (شاورما_برجر) عالفحم,26.2658843,50.0705618,restaurant,4.3,99,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,ورق عنب سوما | Soma Grape Leaves,26.2661043,50.0715299,restaurant,4.9,86,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,قصر لبدة,26.2654347,50.0707795,restaurant,5,2,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,باستا واندومي اسرع لقمه,26.265754299999998,50.0708663,restaurant,4.1,34,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مطعم رشتة,26.265749200000002,50.0715265,restaurant,4.3,14,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,كبدة حجازي، حي الثقبة,26.270245199999998,50.18668350000001,restaurant,4,1525,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Traghif,26.273110199999998,50.185483399999995,restaurant,4.9,134,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Burger Al Mashwi برجر المشوی,26.2694549,50.1869325,restaurant,4.9,9,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,كبة قدورة,26.269682699999997,50.186913499999996,restaurant,3.9,8,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مطعم رايق,26.270410599999998,50.1928548,restaurant,4.1,2395,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Belad Al Sham Grills & Resturant,26.274692599999998,50.190011399999996,restaurant,4.2,6155,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Peshawari Kabab House,26.272206699999998,50.194554499999995,restaurant,4.2,5120,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Shwaiat Al-Khalij,26.269423099999997,50.1899172,restaurant,4.1,4995,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Abu Hilal Resturant .,26.270738899999998,50.1937917,restaurant,4.3,4506,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,RAYG Restaurant,26.2768731,50.195347299999995,restaurant,4.2,2316,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Kufa,26.2800573,50.191848099999994,restaurant,4.1,2847,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مطعم عيال بحر,26.268876,50.187277699999996,restaurant,4.2,2178,OPERATIONAL,https://maps.google.com/?cid=N/A
