ID,Name,Latitude,Longitude,Category,Rating,Number of Reviews,Business Status
171,Marboha Restauarnt,26.2821351,50.2017177,restaurant,4.8,7411,OPERATIONAL
172,Shawatee alshawaya Restaurant,26.2895467,50.1920059,restaurant,4.2,4090,OPERATIONAL
173,مطعم كماله kimalah restaurant,26.2811854,50.1926264,restaurant,4.2,3608,OPERATIONAL
174,Mama Noura,26.2920753,50.220149,restaurant,4,2475,OPERATIONAL
175,Shajarat AlDurr,26.2933374,50.217887,restaurant,4.6,20328,OPERATIONAL
176,Shawayyat AlKhaleej,26.2896321,50.2101543,restaurant,4.2,750,OPERATIONAL
177,مطعم بكي,26.2872306,50.2119418,restaurant,4.1,4851,OPERATIONAL
178,Al Marsah Seafood Restaurant,26.2886109,50.2174192,restaurant,4.1,9569,OPERATIONAL
179,Kebba Khobar House,26.2895866,50.2117812,restaurant,4.4,1038,OPERATIONAL
180,Waha Al Rehab Restaurant,26.2887602,50.2146128,restaurant,4.1,4341,OPERATIONAL
181,Green Flag Restaurant,26.2864303,50.213176,restaurant,4.1,3457,OPERATIONAL
182,The Cheesecake Factory,26.283033,50.219889,restaurant,4.4,6731,OPERATIONAL
183,مطعم العروبة,26.2881751,50.2076844,restaurant,4,1108,OPERATIONAL
184,Hellenika,26.2818345,50.2220069,restaurant,4.3,1161,OPERATIONAL
185,Macéo,26.2820506,50.2222717,restaurant,4.2,2892,OPERATIONAL
186,مطعم ماما رباب للمأكولات البحرية,26.2953412,50.2146157,restaurant,4.4,5006,OPERATIONAL
187,McDonald's,26.286029,50.22036800000001,restaurant,3.8,4616,OPERATIONAL
188,McDonald's,26.294236,50.207408,restaurant,3.9,4012,OPERATIONAL
189,Azmy,26.2953356,50.2184702,restaurant,4.5,2498,OPERATIONAL
190,Off white,26.2929686,50.2228698,restaurant,4.4,13707,OPERATIONAL
191,SULTAN LOUNGE & CAFE,26.2940795,50.2203355,restaurant,4,1221,OPERATIONAL
192,NOZOMI Khobar,26.281832,50.2221606,restaurant,4.4,1130,OPERATIONAL
193,Beit Ward | بيت ورد,26.2833125,50.2193125,restaurant,4.6,2751,OPERATIONAL
194,Abu Hilal Restaurants,26.2862158,50.2125177,restaurant,4.2,2446,OPERATIONAL
195,Tea Time,26.2825825,50.2177414,restaurant,4.2,3094,OPERATIONAL
196,ًءءء,26.3013825,50.0263392,restaurant,No rating,No reviews,OPERATIONAL
197,فيلا ماماز Villamamas,26.2977109,50.107615,restaurant,4,11,OPERATIONAL
198,Dhahran Dining Hall,26.3082371,50.1289825,restaurant,3.9,1650,OPERATIONAL
199,eat’sy Golf,26.3025023,50.1218702,restaurant,4,265,OPERATIONAL
200,Tandoori House,26.3039249,50.1297697,restaurant,4,1381,OPERATIONAL
201,Freshhouse فريش هاوس,26.3091004,50.12839100000001,restaurant,4.5,236,OPERATIONAL
202,Subway,26.3052588,50.129316,restaurant,4.4,112,OPERATIONAL
203,Operation Falafel Aramco,26.3087398,50.129581900000005,restaurant,4.6,341,OPERATIONAL
204,CHICO | تشيكو,26.3088506,50.1295439,restaurant,4,42,OPERATIONAL
205,TAKE Steak Burger (Aramco Camp),26.3086075,50.1289375,restaurant,4.4,30,OPERATIONAL
206,Saadeddin Pastry,26.3091043,50.1289798,restaurant,3.8,41,OPERATIONAL
207,Lucas Pastaria -Aramco,26.3045933,50.1287253,restaurant,4.7,10,OPERATIONAL
208,Zafi Chicken,26.3042201,50.1294747,restaurant,3.9,21,OPERATIONAL
209,"Greens Restaurant ,Aramco Lulu",26.3089959,50.1285332,restaurant,5,1,OPERATIONAL
210,Cafeteria,26.305087500000003,50.1181406,restaurant,No rating,No reviews,OPERATIONAL
