ID,Name,Latitude,Longitude,Category,Rating,Number of Reviews,Business Status
215,تقنيدة,26.3226014,50.0181752,cafe,4.4,33,OPERATIONAL
216,OLA,26.3221479,50.0190256,cafe,No rating,No reviews,OPERATIONAL
217,McCafe,26.332224,50.090088,cafe,3.5,483,OPERATIONAL
218,Shrq Coffee Roasters (Aramco -Al Midra),26.3289387,50.1093735,cafe,4.8,73,OPERATIONAL
219,Starbucks,26.328777,50.1095425,cafe,3.9,82,OPERATIONAL
220,Joffrey's North Park,26.3297501,50.108895200000006,cafe,3.6,34,OPERATIONAL
221,Krispy Kreme,26.3286974,50.1093101,cafe,3,2,OPERATIONAL
222,MASKOB (Al-Midra),26.3286337,50.1094516,cafe,5,3,OPERATIONAL
223,Dose Cafe,26.325568,50.1364224,cafe,4.3,27,OPERATIONAL
225,Dose Cafe,26.311174,50.1322397,cafe,No rating,No reviews,OPERATIONAL
226,فواز واخوانه للبلوت والشاهي,26.3141014,50.145674,cafe,5,13,OPERATIONAL
227,Kyan Coffee,26.3304772,50.1617201,cafe,3.7,294,OPERATIONAL
228,ديوانية كيف القيصرية,26.3331663,50.1496955,cafe,4.1,425,OPERATIONAL
229,Dunkin' - دانكن,26.3233021,50.1647378,cafe,3.9,419,OPERATIONAL
230,Tie | تاي (Dhahran),26.331562,50.1618113,cafe,4,79,OPERATIONAL
231,Saadeddin Pastry,26.3229633,50.1593759,cafe,3.9,643,OPERATIONAL
232,Tim Hortons,26.3234891,50.1649827,cafe,4.3,250,OPERATIONAL
233,Starbucks,26.3233835,50.1641783,cafe,4.1,595,OPERATIONAL
234,Diwaniat Alsahel,26.3239802,50.1662054,cafe,4,296,OPERATIONAL
235,Pastel Al Doha - باستيل الدوحه الجنوبيه,26.3233669,50.1615289,cafe,4.1,182,OPERATIONAL
236,Krispy Kreme,26.3235612,50.1651061,cafe,4.2,228,OPERATIONAL
237,قهوة الشيوخ Alshayoukh Coffee,26.3230446,50.1628015,cafe,4,113,OPERATIONAL
238,Daily cup,26.3222212,50.1569468,cafe,4.6,20,OPERATIONAL
239,سبارك كافيه,26.3322841,50.16115,cafe,4.2,101,OPERATIONAL
240,Barn's | بارنز,26.323828,50.165154300000005,cafe,2.8,4,OPERATIONAL
241,Derby Coffee - دربي كافيه,26.3322588,50.1616538,cafe,4,156,OPERATIONAL
242,Cinnzeo,26.3308841,50.1622847,cafe,3.9,35,OPERATIONAL
243,دندي | Dundee,26.325509,50.1859709,cafe,4.3,531,OPERATIONAL
244,Lavender tea / شاي لافندر,26.3254387,50.1858069,cafe,4.2,533,OPERATIONAL
245,ORIGO,26.3255136,50.185917,cafe,4.6,282,OPERATIONAL
246,&Beyond Lounge,26.3284294,50.1801647,cafe,4.5,948,OPERATIONAL
247,Density Coffee Roasters | مقهى ومحمصة دينستي,26.3287046,50.1803457,cafe,4.3,1734,OPERATIONAL
248,Barn's | بارنز,26.3227222,50.1797506,cafe,4.3,702,OPERATIONAL
249,لاونج دبليو تونتي | W20 Lounge,26.3282614,50.18070650000001,cafe,3.2,67,OPERATIONAL
250,Kenko كينكو,26.3253793,50.1858109,cafe,4.6,302,OPERATIONAL
251,ايت اوز كوفي | 8Oz Coffee,26.3128279,50.1772317,cafe,4.6,325,OPERATIONAL
252,Caesar 7,26.3288365,50.1807881,cafe,4.8,474,OPERATIONAL
253,Starbucks,26.3243359,50.1799484,cafe,4,168,OPERATIONAL
254,IKEA Cafe,26.3093856,50.1678728,cafe,3.8,47,OPERATIONAL
255,Urth Caffe,26.3174247,50.203582,cafe,4.2,3132,OPERATIONAL
256,Mor,26.3169736,50.204033,cafe,4.2,567,OPERATIONAL
257,OVVIO,26.3183859,50.194121,cafe,4.4,127,OPERATIONAL
258,Dose Cafe,26.3182033,50.203857,cafe,4.3,1794,OPERATIONAL
259,Lapa cafe,26.3181944,50.1942076,cafe,4,272,OPERATIONAL
260,Daskalides Chocolatier,26.3176924,50.2036308,cafe,4.3,1064,OPERATIONAL
261,Golden Park Cafe,26.3170867,50.1998459,cafe,4.2,145,OPERATIONAL
262,دندي,26.3173088,50.1967963,cafe,5,3,OPERATIONAL
263,Urth Caffe,26.3287094,50.1819795,cafe,4.7,263,OPERATIONAL
264,مقهى تيفاق | Tyfaq Cafe,26.3283036,50.1807812,cafe,4.4,88,OPERATIONAL
265,namq cafe,26.3194125,50.2228569,cafe,4.4,4655,OPERATIONAL
266,Camel Step,26.3263105,50.2133882,cafe,4.3,1405,OPERATIONAL
267,مقهى ومحمصة اودن | OUDEN,26.3213538,50.2216774,cafe,4.3,1397,OPERATIONAL
268,Olden,26.3152635,50.2161187,cafe,4.4,2083,OPERATIONAL
269,Wiso Bakery,26.3191091,50.2219713,cafe,4.5,4540,OPERATIONAL
270,UMQ Coffee 1.1 - قهوة عُمق 1.1,26.3217239,50.2118034,cafe,4.4,1933,OPERATIONAL
271,CAVO Coffee,26.3142145,50.21713990000001,cafe,4.4,1598,OPERATIONAL
272,EQUAL,26.3199641,50.2168695,cafe,4.2,1725,OPERATIONAL
273,Kyan Cafe,26.3226979,50.2066746,cafe,4.2,874,OPERATIONAL
274,WACAFE ِAl Khobar | وكف الخبر,26.319775000000003,50.2168908,cafe,4.4,354,OPERATIONAL
275,Vico فيكو,26.3259357,50.214295,cafe,3.7,340,OPERATIONAL
276,Alsaqeefa,26.3214375,50.2199516,cafe,4.5,1033,OPERATIONAL
277,Diwan Lounge Plus مقهى ديوان لاونج بلس (فرع الخبر),26.3300556,50.2131294,cafe,4.5,1136,OPERATIONAL
278,ATYPICAL,26.3135617,50.2164375,cafe,4.4,175,OPERATIONAL
279,Cosmo Drive Thru,26.3250364,50.20734890000001,cafe,4.5,526,OPERATIONAL
280,Umbrella restaurant - Alkhobar,26.3194178,50.2218609,cafe,4.6,903,OPERATIONAL
281,Otono,26.3198715,50.221681,cafe,4.1,658,OPERATIONAL
282,Cosmo,26.3108828,50.2234902,cafe,4.1,2437,OPERATIONAL
283,كافيه عنتر Antr Cafe,26.3138426,50.2293313,cafe,4.1,2310,OPERATIONAL
284,أوستن كوفي Osten Coffee,26.3103163,50.2242474,cafe,4.1,739,OPERATIONAL
285,Doka Bakery House Al Khobar دوكة الخبر,26.3103448,50.2242349,cafe,4.5,1854,OPERATIONAL
286,مقهى و محمصة وودز | WOODS Specialty Café & Roastery‎,26.3130416,50.22370480000001,cafe,4.4,3168,OPERATIONAL
287,Dunkin,26.341055,49.9675027,cafe,4,973,OPERATIONAL
288,8oz Coffee | ايت اوز كوفي,26.3419113,49.9706955,cafe,3.7,157,OPERATIONAL
289,Starbucks,26.340594,49.966883,cafe,4.2,352,OPERATIONAL
290,جباتي وكرك,26.3419848,49.9713403,cafe,3.1,156,OPERATIONAL
291,ايكول كافيه,26.3417433,49.9705028,cafe,3.5,61,OPERATIONAL
292,ديوانية جوي للقهوة العربية,26.3425185,49.9712524,cafe,3.7,294,OPERATIONAL
293,Krispy Kreme,26.341847,49.9709417,cafe,4.3,53,OPERATIONAL
294,Blue Sky بلو سكاي,26.3419375,49.971187500000006,cafe,3.8,30,OPERATIONAL
295,شاليهات تالا,26.3481769,49.9661977,cafe,3.9,109,OPERATIONAL
296,ABO SAIF TEA,26.3418881,49.9711649,cafe,3.6,21,OPERATIONAL
297,ديوانية زمن الطيبين,26.3406502,49.9609007,cafe,3.8,99,OPERATIONAL
298,Starbucks,26.3429791,49.9954125,cafe,4,460,OPERATIONAL
299,Dunkin' - دانكن,26.342849,49.99567,cafe,3,123,OPERATIONAL
300,Barn's | بارنز,26.3359602,49.9998485,cafe,3.1,14,OPERATIONAL
301,كوب ورق حي العروبه,26.333875700000004,50.0009642,cafe,4.6,19,OPERATIONAL
302,شاي سياق,26.3500273,49.9969318,cafe,4.9,10,OPERATIONAL
303,كنافة كنوز فرع 2,26.3349839,50.0127238,cafe,4.7,74,OPERATIONAL
304,ديوانية شبرا,26.3407698,50.0352702,cafe,4.1,730,OPERATIONAL
305,بريف | BRIEF,26.342399,50.0377619,cafe,4.6,138,OPERATIONAL
306,مقهى ومحمصة شرق,26.3408888,50.0382081,cafe,4.7,60,OPERATIONAL
307,Al Rifai Roastery,26.3404375,50.0376875,cafe,4.7,29,OPERATIONAL
308,إستكانة مزاج,26.3436007,50.0397084,cafe,2.7,7,OPERATIONAL
309,مقهى ومحمصة سمبلسيتي | Simplicity cafe & roastery,26.3418007,50.0367602,cafe,3.9,7,OPERATIONAL
310,لفى Lifa,26.3445314,50.0412711,cafe,4.9,42,OPERATIONAL
311,Chemistry Coffee كيمستري كوفي,26.3458802,50.0463409,cafe,4.1,1379,OPERATIONAL
312,فيال الشعلة,26.3437982,50.0430079,cafe,4.5,560,OPERATIONAL
