Place ID,Name,Latitude,Longitude,Category,Rating,Number of Reviews,Business Status,Google Maps URL
N/A,Tea point,26.2717565,50.2124846,cafe,4.8,22,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Dublin donuts,26.2671413,50.214783,cafe,4,2,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Gazebo Cafe,26.2658295,50.2133161,cafe,No rating,No reviews,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مقهى سمرة,26.278210899999998,50.2186899,cafe,5,2,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,كورنيش الخبر,26.2572165,50.219502000000006,cafe,No rating,No reviews,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,شركة تالا المتحدة للصناعة,26.271442,49.9718914,cafe,5,2,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,24Cafe,26.295045599999998,50.0353552,cafe,4.4,246,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Barn's | بارنز,26.2954097,50.0356568,cafe,3.6,26,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Derby Cafe,26.295232300000002,50.0355181,cafe,3.8,330,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,ديوانية الكيف,26.295360700000003,50.0341051,cafe,3,3,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Road Café | قهوة الطريق,26.2840822,50.0603135,cafe,4.2,105,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Road Café | قهوة الطريق,26.2840822,50.0603135,cafe,4.2,105,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Shrq Coffee Roaster (Jebel Heights),26.289911399999998,50.1008353,cafe,4.3,264,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,DESSANGE PARIS,26.291301599999997,50.10469,cafe,4.7,22,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,قهوة عرب,26.285332800000003,50.1323483,cafe,2.3,3,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Dunkin' - دانكن,26.2793125,50.132312500000005,cafe,4,513,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Blue stars,26.284292400000002,50.150513499999995,cafe,2.7,13,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,قهوة عرب,26.285332800000003,50.1323483,cafe,2.3,3,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Dose Cafe,26.2836875,50.150437499999995,cafe,3,1,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Blue stars,26.284292400000002,50.150513499999995,cafe,2.7,13,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Dose Cafe,26.2836875,50.150437499999995,cafe,3,1,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Al Rashid Mall,26.2908311,50.1805653,cafe,4.3,50912,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,ديلي كب Daily cup,26.277147,50.183707399999996,cafe,4.5,102,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Dunkin' - دانكن,26.2942647,50.170988099999995,cafe,4,279,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Sip Day speciality coffeee,26.278593599999997,50.1830973,cafe,4.7,448,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Dunkin' - دانكن,26.29086,50.181264,cafe,4,506,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Black Horse Cafe,26.291453999999998,50.182314899999994,cafe,4.5,260,OPERATIONAL,https://maps.google.com/?cid=N/A
