Business ID,Name,Latitude,Longitude,Category,Rating,Popularity,Google Place ID,Business Status,Distance (m),Cluster,generalCategory,Religious Institutions,Coffee Shops,Food & Dining,Restaurants,Home & Construction Services,Entertainment & Recreation,Retail & Shopping,Finance & Services,Education,Health,Public & Government Services,Hotels & Hospitality,Transportation & Travel,Beauty & Wellness,POI Density,Avg Rating - Business Type,Avg Rating - Food & Dining,Competition - Business Type/Area,Competition - Food & Dining/Area,Competition - Business Type/POI Density,Competition - Food & Dining/POI Density,Competition - Business Type/related POIs,Competition - Food & Dining/related POIs,Population Within 1km,Business Name,Google Rating,Number of Reviewers,Avg_NumOfReviewers - Food & Dining,Avg_NumOfReviewers_SameCategory,Population Within 2km,Population Within 3km,Total Num of Reviewers - Food & Dining,Total Num of Reviewers - All POIs,District,Residential Average Price
62e114107258f6166137b251,destination 35 (دستينيشن 35),26.360166,50.206765,Coffee Shop,8,0.9201037061159052,ChIJa49HKtzvST4RRTzE9kZdgdI,OPERATIONAL,22.64926995347074,,0,0,7,17,9,2,1,14,4,0,3,0,0,1,1,57,4.342857142857143,4.311764705882353,2.228163992869875,5.411255411255412,0.1228070175438596,0.2982456140350877,0.21875,0.53125,25047,مقهى دستنيشن35 للقهوة المختصة الراكة Destination35 Speciality coffee Rakkah,4.6,568.0,587.0,471.0,54287,79675,9987.0,13816,Al Rakah Al Janubiyah,28866.0
6408dadf6bfe407e3d523d44,white moon (وايت مون),26.35148,50.211645,Coffee Shop,No rating,0.8990744103906514,ChIJn-GEp2PpST4RiaF-Y51uAEk,OPERATIONAL,13.415474050699526,,0,2,16,23,7,1,0,23,0,1,1,1,0,3,1,59,4.52,4.377272727272727,5.092946269416858,7.321110262286733,0.2711864406779661,0.3898305084745763,0.3478260869565217,0.5,9004,White Moon,4.1,156.0,410.0,483.0,40741,82384,10052.0,16233,Al Bahar,39702.0
63d680ad2a437d43e83eb6fb,cinnabon (سينابون),26.351313,50.211821,Coffee Shop,No rating,0.9110106336343484,ChIJXV7WYJDpST4RV61Cbm46YNY,OPERATIONAL,20.21966960089157,,0,2,14,23,9,1,0,19,0,1,1,1,0,4,1,59,4.523076923076923,4.386363636363637,4.456327986,7.321110262286733,0.2372881355932203,0.3898305084745763,0.3333333333333333,0.5476190476190477,9004,Cinnabon,3.4,87.0,648.0,513.0,39595,82146,14892.0,23020,Al Bahar,39702.0
617d9093811f7d702bc201b8,fun&art,26.364742,50.207573,Coffee Shop,No rating,0.9601583146503676,ChIJRw9bQQDvST4RJ3guM5VGQZ4,OPERATIONAL,28.91775302387412,,0,0,1,9,7,1,0,16,4,0,1,0,0,4,0,58,4.5,4.166666666666667,0.3183091418385536,2.8647822765469826,0.017241379,0.1551724137931034,0.04,0.36,16162,Fun and Art Cafe,4.8,18.0,405.0,75.0,51916,74759,3646.0,7275,Al Sadafah,22464.0
60f885e55c7b085b8aa93289,oaisis cafee,26.366584,50.20711,Coffee Shop,No rating,0.9830610365378826,ChIJ-YvJf17vST4RUznnprkzFdI,OPERATIONAL,16.192393724617162,,0,0,6,10,4,1,1,13,7,1,1,0,0,4,3,58,4.316666666666666,4.21,1.9098548510313216,3.183091418385536,0.1034482758620689,0.1724137931034483,0.25,0.4166666666666667,17717,Khobar oasis Shisha & Coffee,3.8,180.0,474.0,199.0,51088,74464,4740.0,9928,Al Sadafah,102346.0
5da323d24817b90007e6d208,ستاربكس,26.372364,49.970428,Coffee Shop,9.3,0.9997148092960256,ChIJ5x0IafwDNj4REG3OwGDFNPo,OPERATIONAL,19.869855476314463,,0,1,12,19,6,0,5,20,5,1,3,0,2,2,1,58,4.74,4.541176470588235,3.819709702062643,6.047873694932519,0.2068965517241379,0.3275862068965517,0.2608695652173913,0.4130434782608695,6543,Starbucks,4.2,586.0,136.0,77.0,22139,34786,2354.0,5078,Ash Sharq,23775.0
5c931e030d2be7002c2ce98a,dr.cafe,26.373247,49.976353,Coffee Shop,8.1,0.4531874502955799,ChIJ1b2k0Z8DNj4RFS98i-10XeA,OPERATIONAL,115.90456683303684,,0,1,10,20,8,0,1,23,3,3,2,0,3,3,2,57,4.622222222222223,4.494736842105263,3.183091418385536,6.366182836771072,0.175438596,0.3508771929824561,0.2127659574468085,0.425531915,3094,dr.CAFE COFFEE | د. كيف‎,4.6,88.0,92.0,21.0,20606,37431,1760.0,4601,Al Amanah,20791.0
6285e654a6b3ec38076569f9,repeat,26.373668,49.975842,Coffee Shop,7.5,0.9953229895448996,ChIJ4Ve2BnEDNj4RLYaEp2SsYGM,OPERATIONAL,44.885431251533525,,0,1,10,20,7,0,1,24,3,3,1,0,3,3,3,58,4.622222222222223,4.515789473684211,3.183091418385536,6.366182836771072,0.1724137931034483,0.3448275862068966,0.2083333333333333,0.4166666666666667,3536,Repeat Coffee & Brunch,4.0,16.0,84.0,21.0,21348,37294,1657.0,4528,Al Amanah,20791.0
587756dc735a4d73a762fb5f,coffee line (كوفي لاين),26.373943,49.963662,Coffee Shop,7.9,0.9990649339065962,ChIJBcgDL20DNj4Ry5VfIkjVUTs,OPERATIONAL,7.112341468,,0,3,17,24,7,0,7,15,2,1,0,0,0,4,0,58,4.7176470588235295,4.5375000000000005,5.411255411255412,7.639419404125286,0.293103448,0.4137931034482758,0.3695652173913043,0.5217391304347826,7423,كوفي لاين Coffeeline,4.8,223.0,36.0,27.0,22124,30012,913.0,3492,Ash Sharq,23775.0
632198ba58d7157812019565,in case,26.37372,49.975574,Coffee Shop,No rating,0.5837379495536743,ChIJw7CJAQkDNj4Rmo98KdA7CGU,OPERATIONAL,59.73496958,,0,1,10,19,7,0,1,23,3,3,1,0,3,3,3,58,4.622222222222223,4.527777777777778,3.183091418385536,6.047873694932519,0.1724137931034483,0.3275862068965517,0.217391304,0.4130434782608695,3536,IN CASE SPECIALTY COFFEE,4.3,7.0,85.0,21.0,21348,36991,1590.0,4467,Al Amanah,20791.0
