Unnamed: 0,main_id,gid,level,area,population_count,population_male_count,population_female_count,population_density_km2,median_age,male_median_age,female_medium_age,geometry_region,geometry,centroid,inside_city
61594,712598,12341443111433,14,400 meters x 400 meters,561,352.0,209.0,3506.3,31,34.0,27.0,"[[[50.19460505776612, 26.213643298127003], [50.1981983189026, 26.213643298127003], [50.1981983189026, 26.210419547704085], [50.19460505776612, 26.210419547704085], [50.19460505776612, 26.213643298127003]]]","POLYGON ((50.19460505776612 26.213643298127003, 50.1981983189026 26.213643298127003, 50.1981983189026 26.210419547704085, 50.19460505776612 26.210419547704085, 50.19460505776612 26.213643298127003))",POINT (50.19640168833436 26.21203142291554),True
61595,712602,12341432124224,14,400 meters x 400 meters,340,186.0,154.0,2125.0,28,28.0,28.0,"[[[50.06165439571644, 26.413341108571203], [50.06524765685291, 26.413341108571203], [50.06524765685291, 26.410122909528308], [50.06165439571644, 26.410122909528308], [50.06165439571644, 26.413341108571203]]]","POLYGON ((50.06165439571644 26.413341108571203, 50.06524765685291 26.413341108571203, 50.06524765685291 26.410122909528308, 50.06165439571644 26.410122909528308, 50.06165439571644 26.413341108571203))",POINT (50.063451026284675 26.411732009049757),True
61596,713011,12341432123121,14,400 meters x 400 meters,1939,1099.0,840.0,12118.8,27,29.0,24.0,"[[[50.01494200094222, 26.41655921783393], [50.0185352620787, 26.41655921783393], [50.0185352620787, 26.413341108571203], [50.01494200094222, 26.413341108571203], [50.01494200094222, 26.41655921783393]]]","POLYGON ((50.01494200094222 26.41655921783393, 50.0185352620787 26.41655921783393, 50.0185352620787 26.413341108571203, 50.01494200094222 26.413341108571203, 50.01494200094222 26.41655921783393))",POINT (50.01673863151046 26.414950163202565),True
61597,713031,12341414431444,14,400 meters x 400 meters,1533,866.0,667.0,9581.3,30,32.0,29.0,"[[[50.09040048480826, 26.47125333152784], [50.093993745944736, 26.47125333152784], [50.093993745944736, 26.46803674969708], [50.09040048480826, 26.46803674969708], [50.09040048480826, 26.47125333152784]]]","POLYGON ((50.09040048480826 26.47125333152784, 50.093993745944736 26.47125333152784, 50.093993745944736 26.46803674969708, 50.09040048480826 26.46803674969708, 50.09040048480826 26.47125333152784))",POINT (50.09219711537649 26.469645040612463),True
61598,713033,12341432421121,14,400 meters x 400 meters,1102,595.0,507.0,6887.5,29,31.0,27.0,"[[[50.129926357309515, 26.339299831694444], [50.133519618445995, 26.339299831694444], [50.133519618445995, 26.336079569821162], [50.129926357309515, 26.336079569821162], [50.129926357309515, 26.339299831694444]]]","POLYGON ((50.129926357309515 26.339299831694444, 50.133519618445995 26.339299831694444, 50.133519618445995 26.336079569821162, 50.129926357309515 26.336079569821162, 50.129926357309515 26.339299831694444))",POINT (50.13172298787776 26.337689700757803),True
61599,713035,12341432333113,14,400 meters x 400 meters,32,,,200.0,37,,,"[[[49.95026330048561, 26.25876642367277], [49.953856561622096, 26.25876642367277], [49.953856561622096, 26.255543924200786], [49.95026330048561, 26.255543924200786], [49.95026330048561, 26.25876642367277]]]","POLYGON ((49.95026330048561 26.25876642367277, 49.953856561622096 26.25876642367277, 49.953856561622096 26.255543924200786, 49.95026330048561 26.255543924200786, 49.95026330048561 26.25876642367277))",POINT (49.95205993105386 26.25715517393678),True
61613,716780,12341443113233,14,400 meters x 400 meters,514,277.0,237.0,3212.5,27,26.0,27.0,"[[[50.19460505776612, 26.200747760692092], [50.1981983189026, 26.200747760692092], [50.1981983189026, 26.19752365313281], [50.19460505776612, 26.19752365313281], [50.19460505776612, 26.200747760692092]]]","POLYGON ((50.19460505776612 26.200747760692092, 50.1981983189026 26.200747760692092, 50.1981983189026 26.19752365313281, 50.19460505776612 26.19752365313281, 50.19460505776612 26.200747760692092))",POINT (50.19640168833436 26.199135706912454),True
61614,716781,12341443131231,14,400 meters x 400 meters,301,166.0,135.0,1881.3,24,26.0,22.0,"[[[50.19460505776612, 26.178177133488216], [50.1981983189026, 26.178177133488216], [50.1981983189026, 26.174952401238233], [50.19460505776612, 26.174952401238233], [50.19460505776612, 26.178177133488216]]]","POLYGON ((50.19460505776612 26.178177133488216, 50.1981983189026 26.178177133488216, 50.1981983189026 26.174952401238233, 50.19460505776612 26.174952401238233, 50.19460505776612 26.178177133488216))",POINT (50.19640168833436 26.176564767363224),True
61615,716783,12341434241133,14,400 meters x 400 meters,115,82.0,33.0,718.8,33,34.0,33.0,"[[[50.12273983503656, 26.174952401238233], [50.12633309617304, 26.174952401238233], [50.12633309617304, 26.171727579777688], [50.12273983503656, 26.171727579777688], [50.12273983503656, 26.174952401238233]]]","POLYGON ((50.12273983503656 26.174952401238233, 50.12633309617304 26.174952401238233, 50.12633309617304 26.171727579777688, 50.12273983503656 26.171727579777688, 50.12273983503656 26.174952401238233))",POINT (50.124536465604805 26.17333999050796),True
61621,713063,12341432141441,14,400 meters x 400 meters,684,385.0,299.0,4275.0,25,26.0,24.0,"[[[50.02931504548813, 26.37149752094509], [50.032908306624606, 26.37149752094509], [50.032908306624606, 26.368278155456377], [50.02931504548813, 26.368278155456377], [50.02931504548813, 26.37149752094509]]]","POLYGON ((50.02931504548813 26.37149752094509, 50.032908306624606 26.37149752094509, 50.032908306624606 26.368278155456377, 50.02931504548813 26.368278155456377, 50.02931504548813 26.37149752094509))",POINT (50.03111167605637 26.369887838200736),True
