POI Name,POI Latitude,POI Longitude,Category,Rating,Popularity
18/11 (١٨/١١),26.467816,50.059567,Coffee Shop,7.1,0.4548467617479207
Derby Coffee (دربي كافية),26.464688,50.084722,Coffee Shop,6.4,0.6109643807807434
شاي عزوز,26.462051,50.061742,Café,,0.9791919129146858
زيرو زون كافيه,26.463256,50.062361,Café,,0.7316077846482097
Coffee Valley (وادي القهوه),26.462855,50.061874,Café,,0.8904286942381588
كوفي شوب الجوكر,26.463795,50.063225,Coffee Shop,,0.8934634227179982
Night Cafe,26.468101,50.121206,Café,8.7,0.9341992149064204
Drinks Aroma (نكهة المشروب),26.467662,50.123004,Coffee Shop,8.6,0.9604553128463268
W Cafe,26.481548,50.126741,Coffee Shop,8.7,0.9456856104154368
Starbucks (ستاربكس),26.479495,50.13308,Coffee Shop,9.4,0.9983013806460967
Crafter (كرافتر),26.468162,50.123622,Coffee Shop,8.4,0.9868978446177588
قهوة أبو حيان,26.463514,50.132736,Coffee Shop,9.1,0.9935473179421848
1/2 M (هاف مليون),26.490092,50.133491,Coffee Shop,9.2,0.9998549959088132
Estikanah Zaman (استكانة زمان),26.493727,50.124478,Café,8.8,0.998104340060866
Al Fishawi Cafe (مقهى الفيشاوي),26.476194,50.11821,Café,7.5,0.9877367968596256
7 Grams | ٧ جرام (٧ جرام للقهوة المختصة),26.451182,50.131134,Coffee Shop,9.2,0.9967063356430412
24 Cafe,26.451228,50.130944,Coffee Shop,8.3,0.9795854954479072
ستاربكس,26.457594,50.132462,Coffee Shop,7.7,0.9260789857999564
Kefaf (كفاف),26.495487,50.132631,Coffee Shop,7.8,0.9594817139483578
زين,26.456455,50.129331,Coffee Shop,6.3,0.9752043004070472
Perfect Coffee,26.47489,50.125242,Café,,0.4629048462438762
حلويات سعد الدين,26.471884,50.12435,Coffee Shop,,0.9410454794974572
القهوه المثاليه,26.474997,50.125272,Coffee Shop,,0.952086505297828
La Mode Coffe,26.467689,50.113884,Café,,0.1224455975722172
La’Abeille Caffee,26.467998,50.121348,Coffee Shop,,0.9585806170959824
Pronto,26.478703,50.124947,Café,,0.9924494298231986
Thermocup (ثيرموكب),26.370711,50.054375,Coffee Shop,8.9,0.9718795637448342
Piccolo (پكلو),26.390649,50.036907,Coffee Shop,9.4,0.9984463847372836
ADAM (ادم),26.370354,50.05709,Coffee Shop,9.0,0.983200240292494
Zelebrity Cafe,26.378192,50.058436,Coffee Shop,9.3,0.9972863520077888
Dazzling Cafe (دازلنق كافيه),26.391126,50.038872,Café,9.2,0.995846668531005
Moroccan Taste (المذاق المغربي),26.360928,50.044353,Coffee Shop,8.2,0.997835296067282
The Coffee Lab (مختبر القهوة),26.384123,50.054619,Coffee Shop,8.9,0.9980320873338926
3 Gram (٣ جرام),26.350862,50.040623,Coffee Shop,8.8,0.9942101937876104
Starbucks (ستاربكس),26.391992,50.037006,Coffee Shop,8.9,0.9992853369791505
بيت الكرك,26.392409,50.031289,Café,9.0,0.9999454885474416
Tim Hortons (تيم هورتنز),26.390998,50.039098,Coffee Shop,8.7,0.9971206330464324
Boho Specialty Coffee (مقهى بوهو للقهوة المختصة),26.390437,50.038466,Coffee Shop,8.7,0.9954841583030378
Starbucks (ستاربكس),26.391323,50.047295,Coffee Shop,9.0,0.9954945157381226
UMQ COFFEE (قهوة عُمق),26.347979,50.049508,Coffee Shop,9.5,0.9998860682140674
Starbucks (ستاربكس),26.356493,50.015745,Coffee Shop,9.0,0.9998637468174614
ستاربكس,26.377213,50.041764,Coffee Shop,7.8,0.9764782649224746
Arabia Cafe (ارابيا كافيه),26.396395,50.042434,Coffee Shop,9.3,0.982744513148764
Chemistry Coffee (كيمستري كوفي),26.345615,50.046554,Coffee Shop,9.1,0.9986224611337248
ستاربكس,26.345684,50.046775,Coffee Shop,8.9,0.987902515820982
Kafeena (كافينا),26.378439,50.04884,Coffee Shop,8.0,0.9919108431987904
قهوة الطريق,26.376112,50.046317,Café,7.7,0.9913308268340428
Patchi Café,26.391421,50.038953,Café,8.2,0.9804140902546892
Dunkin’ Donuts Drive-Through,26.350529,50.018764,Coffee Shop,8.5,0.9999057119833198
ستاربكس,26.38441,50.031037,Coffee Shop,7.9,0.9875162411426842
Tutti Cafe (أنواع القهوة),26.390575,50.039118,Café,8.2,0.9940548322613388
Crépe & Dip,26.390482,50.03855,Café,8.1,0.989570062869631
كرك و چباتي Kark wa Shapaty,26.372248,50.063735,Coffee Shop,8.4,0.9878300137753888
Art Café,26.391894,50.036045,Coffee Shop,8.1,0.9953184393416814
L’ETO (لِتو),26.390649,50.036907,Café,8.1,0.9983635252566054
Molten Chocolate Cafe,26.392602,50.03645,Café,8.2,0.97577395933671
وادي القهوة,26.396111,50.03789,Coffee Shop,8.3,0.9924183575179444
barn’s (بارنز),26.382694,50.055268,Coffee Shop,7.9,0.9943448404437124
Dozeto coffee (جرعة القهوة),26.386485,50.060802,Coffee Shop,8.2,0.9826616536680856
Kyan (كيان),26.392297,50.031051,Coffee Shop,7.9,0.9995924619975394
ديوانية وقت القهوة,26.374046,50.043193,Café,7.2,0.979647640058416
