Business ID,POI Name,POI Latitude,POI Longitude,Category,Rating,Popularity
257,FreshHouse (فريش هاوس),26.477972,50.132532,Salad Restaurant,8.9,0.9904297299816672
258,Al Ennabi Grill (المشوي العنابي),26.462479,50.122063,BBQ Joint,8.6,0.9705848843592372
260,Beach Park Restaurant,26.466339,50.122998,Seafood Restaurant,8.1,0.9575759458927592
262,ي مال الطيب,26.456454,50.102589,Seafood Restaurant,8.6,0.9639561259049808
263,Lghawees (لغاويص),26.463786,50.121659,Shawarma Restaurant,7.8,0.9647122186661696
264,شورما القص العراقي,26.468002,50.096458,Shawarma Restaurant,8.1,0.9469388600606946
266,Sour (ساور),26.465048,50.122865,Mediterranean Restaurant,7.6,0.9724595801095816
267,The Best Jaizany Potato (ابوموضي ( بطاطس جيزاني )),26.458649,50.111994,Fast Food Restaurant,7.8,0.9624646552527732
268,برجر كنج,26.462479,50.122063,Burger Joint,7.6,0.9781043822307844
270,Heritage Village (القرية الشعبية),26.491727,50.120862,Middle Eastern Restaurant,7.6,0.9989915126788116
271,فرايديز,26.450223,50.119199,American Restaurant,7.9,0.9665040549358356
272,المذاق العثماني,26.471801,50.131322,Turkish Restaurant,7.4,0.978632611
273,دجاج كنتاكى (كنتاكي),26.454282,50.119312,Fried Chicken Joint,7.7,0.9948937845032056
275,Slider Code,26.457206,50.096821,Burger Joint,7.7,0.9631068162280292
276,Deep Fries,26.451483,50.12892,Fried Chicken Joint,7.7,0.9860692498109768
277,Maïs Al Qamar (ميس القمر),26.470861,50.092507,Turkish Restaurant,7.4,0.9792126277848554
278,لافانا,26.45373,50.121351,Iraqi Restaurant,7.1,0.9695284259805902
279,سماء ديرتي للمثلوثة,26.459174,50.095118,Middle Eastern Restaurant,7.1,0.9614703414846348
281,Melenzane,26.496993,50.13434,Italian Restaurant,7.1,0.9919530967378508
282,Da Vinci Italian Restaurant,26.452761,50.120601,Pizzeria,7,0.9277776051538597
284,مطاعم ومحانذ بن عواض,26.367828,50.03674,Middle Eastern Restaurant,8.1,0.9926669359599788
286,رانش برجر,26.371054,50.047477,Social Club,8.1,0.9790779811287532
287,Paul (پول),26.389989,50.037339,French Restaurant,9,0.9964059700255828
288,88 Port Burger,26.369885,50.057553,Burger Joint,8.8,0.9964163274606676
289,SALT (سولت),26.390729,50.037699,Burger Joint,8.9,0.9976074324954168
290,Tag (تاغ),26.381004,50.056568,Kebab Restaurant,8.9,0.99802173
291,Rayiq (رايق),26.37804,50.059778,Shawarma Restaurant,8.9,0.9995132005510156
292,Tea Time,26.37655,50.061178,Restaurant,9,0.9962713233694808
293,ALBAIK (البيك),26.395639,50.041035,Fast Food Restaurant,9.1,0.9981356616847404
294,McDonald’s (ماكدونالدز),26.380331,50.011447,Burger Joint,8.9,0.9999721589500004
295,Kalzbrgr,26.380436,50.057724,Burger Joint,8.5,0.9801655118126548
296,مطاعم أبو هلال,26.358499,50.063461,Yemeni Restaurant,9,0.9939201856052368
297,McDonald's,26.349621,50.051556,Fast Food Restaurant,8.7,0.999119618
298,Marsa (مرسى),26.39266,50.046636,Seafood Restaurant,8.6,0.9883789578348816
299,Hardee's (هارديز),26.381879,50.05604,Burger Joint,8.3,0.9876642948140324
300,بحريات خليجي,26.382202,50.055422,Seafood Restaurant,8.3,0.9781872417114624
303,Shawarmer (شاورمر),26.379944,50.057617,Doner Restaurant,8.2,0.9664108380200728
304,Nando's,26.391511,50.03739,Portuguese Restaurant,8.1,0.9936508922930326
305,سما ديرتي,26.370484,50.056507,Middle Eastern Restaurant,7.9,0.978767258
306,لحظة,26.377211,50.060589,Shawarma Restaurant,8,0.9930708759282852
307,Hashim Restaurant (مطاعم هاشم),26.376595,50.060515,Falafel Restaurant,8,0.9852095826989404
308,Allahib Broasted (بروستد اللاهب),26.381942,50.056497,Fried Chicken Joint,7.9,0.9784151052833276
309,وادي الدور للاكلات الشعبية,26.369314,50.066344,Arepa Restaurant,8.2,0.9942516235279496
310,Kiin (كين),26.379729,50.057793,Fried Chicken Joint,7.9,0.989746139
311,المشوى العنابي,26.347159,50.048865,BBQ Joint,8.1,0.9787569006411252
312,Sushi Library (سوشي لايبرري),26.391611,50.03671,Sushi Restaurant,7.9,0.9954530859977836
313,ماكدونالدز,26.35026,50.018413,Burger Joint,8,0.999905279
315,سماء ديرتي,26.370422,50.05676,Middle Eastern Restaurant,7.5,0.9680680276336368
316,كبدة حجازي,26.381983,50.056388,Middle Eastern Restaurant,7.6,0.9881718091331864
317,Snack House (سناك هاوس),26.377902,50.059874,Burger Joint,7.5,0.980849103
318,Senjar Al Iraqi (سنجار العراقي),26.378869,50.058493,Iraqi Restaurant,7.4,0.9755046660245056
319,ماكدونالدز,26.370113,50.06566,Burger Joint,7.5,0.9870532061440304
320,Burger Site - Agile,26.381785,50.047388,Armenian Restaurant,7.1,0.9914654734901448
322,دجاج كنتاكى,26.381879,50.05604,Fried Chicken Joint,7,0.9958673834011744
324,تثليث للبخاري,26.349552,50.047361,Middle Eastern Restaurant,6.6,0.9874778609825065
328,فلفلة,26.350558,50.050824,Egyptian Restaurant,6.4,0.9694248516297423
331,بروستد الهنا,26.375218,50.045015,Fried Chicken Joint,,0.9820402075629991
333,Dolma,26.436182,50.047664,Restaurant,8.6,0.938891133
334,Q Burger,26.418543,50.017974,Burger Joint,7.6,0.9990347502875404
335,برجر كنج,26.426367,50.035393,Burger Joint,6.7,0.9602378067095464
337,ABU NAWAS (أبو نواس),26.409182,50.023592,Restaurant,7.1,0.9782493863219712
340,مطبخ المعازيم,26.432239,50.043731,Middle Eastern Restaurant,,0.9671255010409222
341,مشويات زمان التكة,26.426081,50.024194,Kebab Restaurant,,0.9983525427671228
342,Qasr AlRatem,26.421485,50.025014,Middle Eastern Restaurant,,0.9988146685687144
343,Abu Helal (أبو هلال),26.420871,50.023727,Yemeni Restaurant,,0.9997366297747304
344,Abu Nawas,26.416516,50.031603,Middle Eastern Restaurant,,0.9509161151332484
345,كريتفل للأكل الصحي,26.41955,50.022267,Restaurant,,0.99972701
