Business ID,POI Name,POI Latitude,POI Longitude,Category,Rating,Popularity
791,KFC (كنتاكي),26.459293,50.090113,Fried Chicken Joint,6.7,0.976322903
792,شيزان,26.459388,50.093996,Indian Restaurant,6.6,0.9554319568302104
793,Ankawa (مطعم عنكاوا العراقي),26.457628,50.112884,BBQ Joint,6.7,0.9630032418771816
794,معجنات الفران,26.463001,50.092154,Kosher Restaurant,6.2,0.9635625433717594
795,Royal Malabar Restaurant,26.455745,50.097147,Indian Restaurant,6.2,0.954903728
796,Hungry Bunny (الأرنب الجائع),26.456678,50.113473,Fast Food Restaurant,6.4,0.9848781447762276
797,كلين بروتين,26.473078,50.096421,Salad Restaurant,,0.9701498720856768
798,McDonald's (ماكدونالدز),26.359576,50.189516,Burger Joint,8.5,0.9979318902523094
799,Domino's Pizza (دومينوز بيتزا),26.358579,50.188772,Pizzeria,8.3,0.9878670894802152
800,Leopardo (ليوباردو),26.350056,50.195202,Pizzeria,9.2,0.9929057568654976
801,Pizza Mario's,26.359948,50.191424,Pizzeria,8.1,0.8793477307195768
802,Azwad (ازواد),26.359764,50.191,Middle Eastern Restaurant,7.9,0.9948861286238924
803,Canary Resto-Cafe,26.348713,50.186756,Café,7.3,0.8635423586478322
804,Spice City (مطعم مدينة البهارات),26.359502,50.191128,Restaurant,7,0.5767644736347343
805,شاورمر,26.359255,50.188358,Doner Restaurant,6.8,0.8732938094581553
806,سيراميك الا كارت كافي,26.449675,50.180909,Italian Restaurant,,0.2934366760534777
807,بطوط,26.451151,50.189742,American Restaurant,,0.8923995333188529
808,Sahel Bukhari Restaurant,26.420358,50.161366,Pakistani Restaurant,,0.4181607266776455
809,Tamimi Markets (أسواق التميمي),26.345617,50.196191,Restaurant,9.4,0.9975433362997128
810,Raising Cane's,26.345494,50.195987,Fried Chicken Joint,9.2,0.9975558702981838
811,Ziba (زيبا),26.351144,50.211345,Persian Restaurant,9.2,0.9919782409786546
812,Bistro,26.35049,50.212308,Bistro,8.9,0.985159746
813,Scatola (سكاتولا),26.34375,50.203767,Italian Restaurant,8.9,0.9922790569419552
814,Bellevento (بيليڤينتو),26.343621,50.184432,Italian Restaurant,8.9,0.9911635310780492
815,Abs Kitchen (آبز كيتشن),26.343778,50.203758,Health Food Store,8.5,0.9918152989985336
816,Uplift (أب لفت),26.352394,50.211044,Burger Joint,8.1,0.983555394
817,The Wings Club (ذي وينقز كلوب),26.343908,50.203843,Wings Joint,8.2,0.9590012910018424
818,BRNX (برونكس),26.345594,50.195596,Pizzeria,8.1,0.9551909554667034
819,Burgerizzer,26.382559,50.178396,Burger Joint,7.1,0.6652891278003915
820,Madina Restaurant,26.416376,50.160226,Indian Restaurant,,0.1355995401298822
821,مطاعم ومطابخ قصر الرتم,26.369735,50.081026,Middle Eastern Restaurant,8.5,0.9732985323514484
822,Shrimp Caption,26.391161,50.073121,Seafood Restaurant,8.7,0.954354784
823,برياني الذواقة,26.365333,50.076491,Indian Restaurant,8.6,0.9904815171570912
824,مخبز وفوال نور الصباح,26.355937,50.099278,Afghan Restaurant,7.6,0.9880993070875927
825,Oh Yamal Restaurant,26.372906,50.200838,Middle Eastern Restaurant,7.6,0.9579498349577976
826,Chks (تشكس),26.372847,50.178585,Fried Chicken Joint,7,0.9279122518099616
