Business ID,District,City,Latitude,Longitude,POI Name,POI Latitude,POI Longitude,Category,Rating,Popularity,Business Type
64,1st Industrial Dist.,Dammam,26.3979752,50.139516,Leopardo Central Kitchen,26.388373,50.144261,Restaurant,,0.8686677231250454,Restaurant
65,1st Industrial Dist.,Dammam,26.3979752,50.139516,Dawg&Co,26.385865,50.126185,Fast Food Restaurant,,0.8815213000652519,Restaurant
66,1st Industrial Dist.,Dammam,26.3979752,50.139516,مشويات كل الناس,26.416041,50.138379,Fish and Chips Shop,,0.425618079938684,Restaurant
67,1st Industrial Dist.,Dammam,26.3979752,50.139516,Payless Shoesource,26.402128,50.118861,Restaurant,,0.952645806792406,Restaurant
68,1st Industrial Dist.,Dammam,26.3979752,50.139516,Patatia (بطاطيا),26.400251,50.117581,Salad Restaurant,,0.8589731638856953,Restaurant
69,1st Industrial Dist.,Dammam,26.3979752,50.139516,باسكن روبنز,26.39999,50.117473,Ice Cream Parlor,,0.8886265005334079,Restaurant
70,1st Industrial Dist.,Dammam,26.3979752,50.139516,Driver’s Hotel - Modan Alam Restaurant,26.415157,50.15032,Pakistani Restaurant,,0.955732322447669,Restaurant
71,1st Industrial Dist.,Dammam,26.3979752,50.139516,Vanelli's,26.400359,50.117375,Italian Restaurant,,0.6279402168846907,Restaurant
72,1st Industrial Dist.,Dammam,26.3979752,50.139516,Okashi,26.400251,50.117345,Sushi Restaurant,,0.8809723560057587,Restaurant
73,1st Industrial Dist.,Dammam,26.3979752,50.139516,Lucas,26.400634,50.11722,Italian Restaurant,,0.467710696123212,Restaurant
74,1st Industrial Dist.,Dammam,26.3979752,50.139516,شاورماريتو,26.400128,50.116904,Shawarma Restaurant,,0.7785476804524127,Restaurant
75,1st Industrial Dist.,Dammam,26.3979752,50.139516,دجاج كنتاكى,26.402866,50.115303,Fried Chicken Joint,,0.8777201213891392,Restaurant
76,1st Industrial Dist.,Dammam,26.3979752,50.139516,Mas Restaurant,26.416508,50.124358,Bistro,,0.9174305275041688,Restaurant
77,1st Industrial Dist.,Dammam,26.3979752,50.139516,مكبوس سمك,26.41386,50.120323,Seafood Restaurant,,0.4024277827838714,Restaurant
78,1st Industrial Dist.,Dammam,26.3979752,50.139516,Hashi Taste Cafeteria - Kibdah (بوفية طعم الحاشي),26.416953,50.123945,Sandwich Spot,,0.9630964587929444,Restaurant
79,1st Industrial Dist.,Dammam,26.3979752,50.139516,برجر ستوب,26.41934,50.128816,Burger Joint,,0.9209209831277384,Restaurant
80,1st Industrial Dist.,Dammam,26.3979752,50.139516,Alfawar Restaurant (مطعم الفوار),26.413922,50.120307,Turkish Restaurant,,0.9463277713906928,Restaurant
81,1st Industrial Dist.,Dammam,26.3979752,50.139516,Herfy (هرفي),26.400266,50.117281,Fast Food Restaurant,6.2,0.9659033237009188,Restaurant
82,1st Industrial Dist.,Dammam,26.3979752,50.139516,جوهرة الإسكان,26.414306,50.11991,Afghan Restaurant,,0.2293343276471014,Restaurant
83,1st Industrial Dist.,Dammam,26.3979752,50.139516,ع الخفيف,26.41429,50.119737,Diner,,0.054324747019648,Restaurant
84,1st Industrial Dist.,Dammam,26.3979752,50.139516,Bahraini Tikkat Restaurant (مطعم تكات البحريني),26.414022,50.119493,Middle Eastern Restaurant,,0.5109944173424893,Restaurant
85,1st Industrial Dist.,Dammam,26.3979752,50.139516,Popeyes Louisiana Kitchen,26.40672,50.113451,Fried Chicken Joint,,0.898590353084962,Restaurant
86,1st Industrial Dist.,Dammam,26.3979752,50.139516,Sama Deeraty,26.414366,50.118002,Restaurant,,0.959699220085138,Restaurant
87,1st Industrial Dist.,Dammam,26.3979752,50.139516,سماء ديرتي,26.414289,50.118081,Kebab Restaurant,,0.904359444427182,Restaurant
88,1st Industrial Dist.,Dammam,26.3979752,50.139516,مطعم المكبوس,26.411411,50.115231,Middle Eastern Restaurant,,0.0829837698992221,Restaurant
89,1st Industrial Dist.,Dammam,26.3979752,50.139516,بوفية الواحة,26.412195,50.115084,Sandwich Spot,,0.9543133538410548,Restaurant
90,1st Industrial Dist.,Dammam,26.3979752,50.139516,استراحة عدن بوفيه,26.415026,50.11694,Middle Eastern Restaurant,,0.9106567649587256,Restaurant
91,1st Industrial Dist.,Dammam,26.3979752,50.139516,Madhina (ماضينا),26.376841,50.121799,Middle Eastern Restaurant,,0.9389014904349088,Restaurant
92,1st Industrial Dist.,Dammam,26.3979752,50.139516,البوفية الخارقة,26.375705,50.122926,Buffet,,0.1462884131373706,Restaurant
93,1st Industrial Dist.,Dammam,26.3979752,50.139516,مشوار,26.415381,50.116533,Mediterranean Restaurant,,0.0654693471708666,Restaurant
94,Al Fanar Dist.,Dammam,26.4049851,50.1959908,Anjik,26.407504,50.188828,Turkish Restaurant,8.2,0.998356080158302,Restaurant
95,Al Fanar Dist.,Dammam,26.4049851,50.1959908,دومينوز بيتزا,26.387999,50.178266,Pizzeria,9.0,0.9717138447834778,Restaurant
96,Al Fanar Dist.,Dammam,26.4049851,50.1959908,Le Relais de L’entercote,26.41252,50.20686,French Restaurant,8.0,0.9610904021033988,Restaurant
97,Al Fanar Dist.,Dammam,26.4049851,50.1959908,الروشن الشرقي,26.405798,50.185761,Restaurant,7.5,0.9487746566026616,Restaurant
98,Al Fanar Dist.,Dammam,26.4049851,50.1959908,دروازة البيت,26.413935,50.174498,Middle Eastern Restaurant,8.0,0.946182767299506,Restaurant
99,Al Fanar Dist.,Dammam,26.4049851,50.1959908,In Between (إن بتوين),26.388568,50.17853,Burger Joint,8.0,0.961874281452941,Restaurant
100,Al Fanar Dist.,Dammam,26.4049851,50.1959908,Saranouva (سارانوڤا),26.388491,50.178137,Burger Joint,7.7,0.8736392919657376,Restaurant
101,Al Fanar Dist.,Dammam,26.4049851,50.1959908,دومينوز بيتزا,26.387907,50.178172,Pizzeria,7.3,0.9695387834156748,Restaurant
102,Al Fanar Dist.,Dammam,26.4049851,50.1959908,Burger Nook Restaurant,26.404019,50.194973,Burger Joint,,0.1348468786785528,Restaurant
103,Al Fanar Dist.,Dammam,26.4049851,50.1959908,بيتزا هت,26.390812,50.17995,Pizzeria,6.3,0.927943324115216,Restaurant
104,Al Fanar Dist.,Dammam,26.4049851,50.1959908,هرفي,26.415074,50.170322,Fast Food Restaurant,6.4,0.988689680887425,Restaurant
105,Al Fanar Dist.,Dammam,26.4049851,50.1959908,كفيتريا السكن الطلابي,26.399964,50.198873,Fast Food Restaurant,,0.978005188767536,Restaurant
106,Al Fanar Dist.,Dammam,26.4049851,50.1959908,Turkistani Bukhari Restaurant,26.416044,50.172963,Turkish Restaurant,6.2,0.952832240623932,Restaurant
107,Al Fanar Dist.,Dammam,26.4049851,50.1959908,نبراس للمأكولات البحرية,26.407536,50.188791,Fish and Chips Shop,,0.5645636876106945,Restaurant
108,Al Fanar Dist.,Dammam,26.4049851,50.1959908,Tasty Elements,26.40506,50.184537,Comfort Food Restaurant,,0.9548807536526428,Restaurant
109,Al Fanar Dist.,Dammam,26.4049851,50.1959908,Just Falafel | جست فلافل - UoD,26.394445,50.192229,Falafel Restaurant,,0.5645570454589123,Restaurant
110,Al Fanar Dist.,Dammam,26.4049851,50.1959908,Burger King (برجر كنج),26.388675,50.178325,Burger Joint,6.0,0.8994500201969984,Restaurant
111,Al Fanar Dist.,Dammam,26.4049851,50.1959908,لوروليه دو لانتركوت,26.412535,50.206796,French Restaurant,,0.9624953062763626,Restaurant
