POI Name,POI Latitude,POI Longitude,Category,Rating,Popularity,Matched Population,Population Within 1km
Barn’s,26.422582,50.027884,Coffee Shop,,0.980569451780961,842.0,47487
بارنز,26.422463,50.027913,Coffee Shop,,0.976136469564677,842.0,46300
Bati Cafe,26.422834,50.027505,Café,,0.9393054304032148,842.0,50816
Sahar Cafe,26.442426,50.068446,Coffee Shop,,0.5545060021336317,1445.0,43238
Kiwan (كيوان),26.425922,50.0237,Café,,0.7922801654532016,1195.0,52128
قهوه الدوانيه,26.418006,50.029727,Café,,0.9129146858072068,1858.0,49093
dr.CAFE COFFEE | V12 Station | د.كيف كافيه (dr.CAFE COFFEE | د. كيف),26.45616,50.09686,Coffee Shop,9.0,0.9887621829330184,1915.0,42449
CORE COFFEE & ROASTERY (Core Coffee & Roastery),26.458855,50.093134,Coffee Shop,9.0,0.9788397601218034,909.0,42838
Starbucks (ستاربكس),26.411946,50.093566,Coffee Shop,9.1,0.9796062103180768,271.0,23007
Starbucks (ستاربكس),26.45491,50.11388,Coffee Shop,9.2,0.99885032470559,2750.0,23525
Starbucks (ستاربكس),26.412921,50.100693,Coffee Shop,8.9,0.9922319236864184,35.0,17491
Tim Hortons (تيم هورتنز),26.411544,50.092832,Coffee Shop,9.0,0.986846057442335,271.0,21787
Location Coffee (لوكيشن كافيه),26.456777,50.101138,Coffee Shop,8.6,0.947518876425442,804.0,36141
Caribou Coffee (كاريبو كوفي),26.458773,50.093211,Coffee Shop,8.5,0.9385286227718568,909.0,42838
Zaffron Lounge (ديوانية زعفران),26.421009,50.100572,Café,8.0,0.9594609990781884,1041.0,50284
قيصرية الواحة,26.429371,50.117122,Café,8.2,0.9948627121979512,,45580
المذاق المغربي,26.459282,50.095385,Coffee Shop,8.2,0.9877885840350497,553.0,41669
ستاربكس,26.428519,50.107585,Coffee Shop,7.7,0.9473220851588312,2553.0,59244
3.C Café,26.458341,50.092317,Café,8.0,0.9940134025209996,2928.0,42248
كوخ الكرك,26.46131,50.092482,Café,8.1,0.9412319133289831,909.0,39666
Cafficha (كافيشا),26.461947,50.092263,Coffee Shop,8.1,0.9906161638131932,1634.0,39666
Morth Coffee (مورث),26.459396,50.088284,Coffee Shop,8.0,0.96330360749464,754.0,47620
Avenue cafe,26.421009,50.101281,Café,7.7,0.9604035256709028,1690.0,49563
قهوة الطريق,26.439674,50.118311,Coffee Shop,7.8,0.9658515365254948,1645.0,57395
Tim Hortons,26.456027,50.105241,Coffee Shop,7.8,0.9518793565961324,,27721
Lulia (لوليا),26.4139,50.096175,Café,6.5,0.9513821997120632,226.0,21626
وناسه كافيه,26.420415,50.107059,Café,6.4,0.9467524262291686,1082.0,32189
Reds Caffe,26.438697,50.105965,Café,,0.8999575345161525,2522.0,76952
karak Cup,26.436514,50.10737,Café,,0.9248775233301224,2522.0,74255
Coffee eltgaa,26.44643,50.103275,Coffee Shop,,0.9780629524904452,704.0,67255
انتقاء القهوة,26.446984,50.103129,Coffee Shop,,0.965012584283628,704.0,65054
